CUSTNO,XCOORD,YCOORD,DEMAND,READYTIME,DUETIME,SERVICETIME,CAPACITY
1,60,40,19,580,1416,77,200
2,17,25,11,528,1205,85,200
3,23,68,26,371,1091,80,200
4,45,63,13,86,564,82,200
5,59,63,29,631,1440,74,200
6,55,11,35,366,946,79,200
7,45,72,18,679,1249,82,200
8,85,45,26,575,1254,83,200
9,89,2,32,866,1440,82,200
10,94,15,22,404,1025,82,200
11,8,93,16,563,1371,85,200
12,57,7,21,649,1274,76,200
13,61,86,23,1040,1440,85,200
14,87,31,40,626,1401,80,200
15,46,81,32,183,911,80,200
16,6,91,15,729,1278,78,200
17,80,11,18,531,1208,78,200
18,100,50,12,891,1440,82,200
19,69,49,18,124,438,83,200
20,23,79,18,754,1440,80,200
21,19,13,24,734,1215,79,200
22,96,65,8,1025,1440,78,200
23,18,6,18,611,1355,81,200
24,30,54,33,66,529,83,200
25,98,12,13,577,1391,77,200
26,98,89,19,682,1440,83,200
27,61,52,11,434,1121,80,200
28,41,86,19,38,410,82,200
29,95,38,14,1034,1440,82,200
30,79,99,13,836,1400,85,200
