CUSTNO,XCOORD,YCOORD,DEMAND,READYTIME,DUETIME,SERVICETIME,CAPACITY
0,250,250,0,0,1339,0,200
1,338,44,25,700,1440,74,200
2,341,436,15,838,1325,77,200
3,395,259,25,438,1272,82,200
4,152,268,21,765,1440,80,200
5,499,420,9,410,788,76,200
6,356,378,22,684,1412,78,200
7,372,452,26,297,731,79,200
8,67,379,22,343,849,75,200
9,331,225,28,659,1440,80,200
10,488,119,40,313,866,80,200
11,230,373,30,373,1107,84,200
12,270,17,40,259,1090,80,200
13,332,402,27,281,762,80,200
14,175,122,27,359,1039,76,200
15,423,408,28,411,1014,78,200
16,126,429,27,537,1279,77,200
17,102,196,28,916,1440,79,200
18,163,369,18,476,1036,80,200
19,397,318,12,526,1144,79,200
20,410,63,17,562,1138,77,200
21,333,250,22,93,585,78,200
22,202,153,8,998,1440,77,200
23,435,489,30,944,1440,79,200
24,475,419,18,249,629,85,200
25,327,31,19,723,1198,80,200
26,185,367,8,482,1025,77,200
27,405,245,22,400,972,80,200
28,215,40,19,31,577,80,200
29,317,305,35,105,646,86,200
30,493,453,27,308,841,80,200
31,468,231,31,665,1232,78,200
32,484,240,8,766,1324,77,200
33,373,136,12,896,1440,78,200
34,200,244,8,401,998,75,200
35,440,417,23,277,1015,78,200
36,201,359,16,334,915,83,200
37,32,204,21,475,1313,79,200
38,150,217,14,79,630,80,200
39,348,109,11,72,840,78,200
40,430,21,13,656,1221,81,200
41,424,486,29,1041,1440,83,200
42,22,408,25,94,847,71,200
43,344,358,28,206,814,80,200
44,224,70,14,321,1038,77,200
45,380,467,21,59,381,77,200
46,432,146,15,384,1048,76,200
47,166,71,15,935,1350,80,200
48,35,43,24,954,1440,79,200
49,434,25,32,934,1440,80,200
50,53,470,25,729,1440,80,200
51,172,57,26,1026,1273,79,200
52,457,169,22,642,1121,77,200
53,21,245,26,270,677,80,200
54,78,388,29,406,839,76,200
55,233,335,17,237,943,77,200
56,262,107,33,975,1407,81,200
57,44,276,8,547,1379,80,200
58,326,122,10,397,680,76,200
59,290,276,13,20,642,86,200
60,72,320,19,953,1440,81,200
61,384,163,18,280,937,78,200
62,210,486,18,705,1440,81,200
63,128,292,23,861,1440,85,200
64,434,440,35,900,1440,78,200
65,327,244,14,842,1221,78,200
66,296,58,22,191,925,80,200
67,285,122,14,953,1440,82,200
68,5,36,9,725,1440,83,200
69,193,56,16,610,1348,83,200
70,104,217,19,712,1440,82,200
71,121,288,18,610,1412,78,200
72,233,423,17,353,745,78,200
73,58,261,18,663,1150,80,200
74,34,340,28,470,891,84,200
75,196,238,18,647,1315,81,200
76,266,315,18,560,1297,76,200
77,219,258,20,46,409,75,200
78,113,286,22,322,1147,76,200
79,171,497,35,34,728,84,200
80,79,105,26,466,1253,79,200
81,387,291,23,557,1159,79,200
82,175,218,34,261,931,80,200
83,174,350,41,437,963,81,200
84,171,23,19,191,616,82,200
85,139,435,19,849,1142,75,200
86,235,223,18,576,1412,85,200
87,278,423,20,608,1197,77,200
88,216,98,22,689,1399,82,200
89,481,44,13,303,1007,81,200
90,278,172,18,352,1107,78,200
91,70,247,31,346,1042,83,200
92,260,388,8,513,1170,81,200
93,128,276,41,247,877,83,200
94,493,62,14,62,580,80,200
95,450,415,20,207,926,80,200
96,49,282,22,452,1215,80,200
97,444,236,21,89,906,86,200
98,228,416,10,10,809,79,200
99,437,309,29,706,1206,83,200
100,103,209,33,400,824,76,200
101,272,400,17,558,1062,78,200
102,227,325,12,380,1135,80,200
103,418,207,11,608,993,79,200
104,355,113,36,900,1440,79,200
105,301,286,31,112,640,78,200
106,107,403,17,199,884,74,200
107,487,30,14,628,1440,82,200
108,66,69,22,263,1108,77,200
109,72,3,34,826,1440,81,200
110,420,73,8,454,1440,78,200
111,198,211,41,63,718,83,200
112,135,221,37,947,1440,80,200
113,147,171,24,111,662,75,200
114,24,362,40,301,1159,84,200
115,300,251,19,214,708,77,200
116,191,125,12,914,1329,75,200
117,312,361,10,332,1064,80,200
118,345,15,36,484,930,81,200
119,237,270,24,1046,1440,79,200
120,380,90,15,660,1283,78,200
121,139,454,29,256,988,78,200
122,349,48,8,212,533,79,200
123,237,124,32,720,1440,74,200
124,483,209,32,356,945,88,200
125,355,143,40,519,956,79,200
126,258,103,21,123,650,83,200
127,339,440,14,421,949,87,200
128,283,452,10,435,1252,75,200
129,388,375,13,908,1440,75,200
130,272,240,26,952,1440,76,200
131,69,332,21,887,1411,75,200
132,153,249,27,214,984,76,200
133,436,448,32,172,1004,80,200
