CUSTNO,XCOORD,YCOORD,DEMAND,READYTIME,DUETIME,SERVICETIME,CAPACITY
0,50,50,0,0,1236,0,200
1,49,3,13,476,1242,79,200
2,18,52,25,419,1145,82,200
3,77,43,20,54,822,81,200
4,11,86,14,515,990,77,200
5,3,98,20,818,1285,80,200
6,32,8,13,896,1440,79,200
7,73,26,9,342,946,79,200
8,53,49,26,358,797,81,200
9,19,41,21,915,1440,80,200
10,11,21,19,73,630,88,200
11,31,69,39,2,547,84,200
12,77,92,37,603,1226,74,200
13,14,53,28,484,1160,77,200
14,92,4,14,978,1440,80,200
15,81,66,18,934,1262,81,200
16,86,38,22,617,1257,81,200
17,1,43,36,105,683,76,200
18,55,11,16,200,459,82,200
19,89,23,21,139,468,79,200
20,27,20,25,1007,1440,80,200
21,38,73,16,126,730,81,200
22,39,36,18,200,684,79,200
23,60,91,23,569,1035,78,200
24,35,64,26,288,883,76,200
25,100,15,13,514,1277,76,200
26,79,24,31,903,1440,73,200
27,21,73,32,933,1424,75,200
28,86,34,25,578,978,79,200
29,52,0,33,755,1440,77,200
30,19,68,26,733,1440,77,200
31,31,75,30,425,1142,80,200
32,9,35,12,748,1440,83,200
33,58,50,28,85,888,83,200
34,39,68,15,290,785,73,200
35,93,26,26,483,1390,77,200
36,9,85,33,0,810,83,200
37,7,56,22,629,1182,75,200
38,2,21,21,445,1219,81,200
39,3,34,25,792,1440,77,200
40,45,17,39,390,878,78,200
41,100,18,14,72,719,79,200
42,19,39,20,739,1440,81,200
43,29,4,23,717,1333,83,200
44,2,80,24,649,1440,74,200
45,9,73,30,787,1193,83,200
46,78,65,26,216,692,80,200
47,27,32,26,758,1440,78,200
48,9,39,8,615,1193,75,200
49,58,1,18,635,1056,85,200
50,26,5,28,355,923,75,200
51,89,17,20,302,820,85,200
52,80,16,22,160,822,81,200
53,7,49,25,56,494,75,200
54,71,3,34,535,1139,75,200
55,99,91,28,200,948,73,200
56,26,9,30,730,1403,77,200
57,47,79,39,751,1417,79,200
58,46,84,23,86,818,78,200
59,34,74,20,35,791,75,200
60,8,54,27,10,554,81,200
61,0,58,32,1018,1260,75,200
62,15,29,24,1032,1440,75,200
63,71,44,20,2,823,82,200
64,8,49,25,636,1440,74,200
65,45,88,19,988,1440,84,200
66,99,27,20,662,1195,73,200
67,32,26,24,959,1440,75,200
68,44,15,11,488,918,82,200
69,65,4,29,944,1440,76,200
70,4,13,17,660,1097,82,200
71,62,41,9,253,898,79,200
72,8,23,19,56,577,83,200
73,25,85,22,973,1440,79,200
74,57,94,20,426,1067,83,200
75,10,74,18,104,291,81,200
76,91,90,24,77,576,80,200
77,100,92,16,589,1228,78,200
78,34,46,25,604,1440,79,200
79,9,85,17,844,1440,78,200
80,60,46,15,920,1440,78,200
81,52,77,28,554,1409,74,200
82,72,70,27,288,951,77,200
83,29,68,14,896,1440,83,200
84,52,8,8,522,1234,79,200
85,36,7,34,10,689,79,200
86,80,24,25,268,917,79,200
87,24,47,25,70,722,81,200
88,46,52,26,226,1122,78,200
89,24,38,27,229,858,82,200
90,84,71,21,716,1122,72,200
91,20,62,11,97,805,81,200
92,10,38,10,1022,1430,76,200
93,93,63,32,660,1440,80,200
94,87,34,18,403,1040,79,200
95,74,98,16,199,1071,77,200
96,57,56,22,214,870,79,200
97,76,10,13,1027,1440,84,200
98,68,24,10,115,487,81,200
99,17,32,23,440,1031,77,200
100,10,100,20,352,769,76,200
