CUSTNO,XCOORD,YCOORD,DEMAND,READYTIME,DUETIME,SERVICETIME,CAPACITY
0,50,50,0,0,1236,0,200
1,9,27,28,91,675,80,200
2,3,100,21,1035,1440,79,200
3,17,15,36,167,886,76,200
4,30,40,32,351,880,79,200
5,5,17,19,322,1000,81,200
6,42,3,17,767,1420,79,200
7,50,39,9,939,1366,86,200
8,68,84,15,342,936,79,200
9,69,100,17,375,1157,79,200
10,79,19,39,137,740,80,200
11,72,76,18,540,1046,77,200
12,0,84,19,740,922,77,200
13,82,44,17,941,1440,81,200
14,51,10,14,123,931,81,200
15,54,91,28,43,949,78,200
16,87,36,19,396,1150,81,200
17,48,35,14,205,911,80,200
18,17,7,16,84,887,82,200
19,48,22,20,614,1169,78,200
20,2,7,26,708,1428,87,200
21,19,19,22,183,687,77,200
22,68,2,35,841,1170,82,200
23,85,7,39,502,1114,80,200
24,10,13,13,657,1257,80,200
25,28,60,9,122,561,80,200
26,1,96,9,195,1010,82,200
27,93,71,34,53,777,85,200
28,44,74,22,696,1297,86,200
29,65,89,9,165,811,78,200
30,37,11,13,793,1310,78,200
31,62,92,26,417,1098,80,200
32,52,70,25,317,1073,78,200
33,29,78,17,432,1309,77,200
34,42,32,22,232,783,72,200
35,3,71,22,679,1365,84,200
36,8,65,17,414,1142,81,200
37,1,31,36,65,782,80,200
38,39,14,10,762,1439,82,200
39,27,48,32,90,527,80,200
40,42,10,16,325,966,79,200
41,91,2,18,7,824,73,200
42,80,63,21,216,1148,76,200
43,15,53,38,429,890,77,200
44,14,99,15,414,1039,78,200
45,82,20,25,249,990,78,200
46,36,61,18,947,1440,72,200
47,42,16,37,907,1440,79,200
48,66,34,14,434,1062,80,200
49,24,0,27,214,643,75,200
50,47,25,14,807,1318,87,200
51,15,38,33,185,1153,80,200
52,66,3,12,810,1244,81,200
53,11,48,29,1036,1440,83,200
54,89,27,16,791,1440,77,200
55,84,99,14,552,1378,76,200
56,72,91,25,100,520,79,200
57,4,79,9,633,1394,79,200
58,58,78,29,150,801,84,200
59,41,61,9,636,1065,79,200
60,68,31,9,1001,1440,77,200
61,22,45,21,482,1440,82,200
62,87,40,17,823,1440,79,200
63,74,97,19,966,1440,82,200
64,47,2,21,949,1440,81,200
65,55,83,18,985,1440,83,200
66,62,31,32,606,1440,78,200
67,52,65,26,788,1440,82,200
68,89,63,30,500,1368,84,200
69,57,20,9,727,1440,77,200
70,91,70,8,886,1373,80,200
71,24,95,31,903,1440,80,200
72,92,36,18,1024,1440,78,200
73,28,52,34,1,649,83,200
74,88,26,22,153,897,81,200
75,38,8,30,825,1440,81,200
76,42,74,15,660,1100,81,200
77,65,84,33,235,901,69,200
78,1,67,35,0,752,78,200
79,56,65,23,589,1277,82,200
80,87,72,24,255,754,74,200
81,33,6,8,983,1331,78,200
82,89,44,21,623,1440,81,200
83,39,68,9,668,1309,77,200
84,58,15,11,242,800,77,200
85,40,52,24,949,1440,80,200
86,75,69,25,1047,1440,83,200
87,100,34,32,289,613,83,200
88,67,41,28,662,1350,74,200
89,27,73,40,603,875,82,200
90,13,46,33,738,1381,83,200
91,20,37,19,1000,1385,83,200
92,97,0,38,670,1200,81,200
93,23,74,16,604,1353,84,200
94,89,34,22,654,1151,74,200
95,52,19,8,787,1440,82,200
96,43,44,32,519,1164,77,200
97,70,3,32,665,1241,79,200
98,26,11,12,734,1440,84,200
99,40,29,19,849,1440,81,200
100,31,37,23,98,708,78,200
