CUSTNO,XCOORD,YCOORD,DEMAND,READYTIME,DUETIME,SERVICETIME,CAPACITY
0,50,50,0,0,1236,0,200
1,88,26,17,973,1440,79,200
2,61,56,13,1014,1440,77,200
3,48,86,20,102,680,77,200
4,42,63,29,843,1302,78,200
5,75,66,11,969,1440,79,200
6,77,40,19,115,633,84,200
7,60,36,11,128,822,77,200
8,54,27,31,57,891,78,200
9,61,23,12,637,1074,81,200
10,91,14,16,929,1302,86,200
11,19,4,20,428,1158,85,200
12,45,35,37,243,710,76,200
13,88,3,13,412,896,80,200
14,26,87,19,443,950,81,200
15,45,15,23,389,1100,77,200
16,65,27,13,701,1272,77,200
17,30,64,12,985,1440,79,200
18,16,90,18,567,1152,77,200
19,92,16,22,9,690,82,200
20,11,12,18,658,1086,79,200
21,81,49,16,84,496,83,200
22,6,55,24,594,1226,82,200
23,65,39,13,821,1414,74,200
24,30,9,10,901,1440,82,200
25,81,5,38,800,1440,73,200
26,84,94,16,89,738,77,200
27,34,34,34,747,1345,79,200
28,12,35,17,458,1205,77,200
29,93,45,14,658,1366,78,200
30,42,33,32,34,738,80,200
31,95,18,15,306,1182,81,200
32,26,6,17,315,922,75,200
33,27,89,9,303,787,83,200
34,63,99,10,120,851,79,200
35,12,45,8,750,1379,84,200
36,64,99,17,982,1440,87,200
37,42,28,30,847,1337,81,200
38,85,80,18,242,1027,82,200
39,62,66,14,13,652,80,200
40,32,90,37,850,1338,78,200
41,99,88,19,631,944,84,200
42,3,79,27,570,1022,88,200
43,29,64,22,134,758,75,200
44,9,36,18,123,950,87,200
45,43,80,20,508,887,72,200
46,3,34,36,918,1378,78,200
47,2,100,24,786,1345,82,200
48,10,53,27,1009,1440,78,200
49,6,10,30,1039,1440,82,200
50,98,14,10,358,1087,77,200
51,26,70,18,205,809,75,200
52,48,25,26,789,1440,86,200
53,68,3,17,1012,1440,82,200
54,32,56,23,430,1082,78,200
55,26,80,17,28,744,78,200
56,9,28,31,893,1258,73,200
57,86,50,16,723,1440,77,200
58,35,80,25,311,1005,84,200
59,17,11,19,596,1395,73,200
60,60,97,21,210,757,80,200
61,84,24,37,203,839,73,200
62,8,94,24,589,1083,82,200
63,58,50,27,505,1037,82,200
64,84,83,23,694,1171,82,200
65,79,42,31,865,1440,81,200
66,6,28,12,587,1069,80,200
67,42,13,23,648,1369,78,200
68,13,40,24,915,1369,72,200
69,60,28,30,420,1186,80,200
70,36,25,21,733,1278,79,200
71,37,90,24,530,1216,77,200
72,0,15,23,186,898,78,200
73,50,27,18,831,1124,79,200
74,39,88,18,702,1206,78,200
75,32,13,17,897,1308,77,200
76,35,40,24,619,1212,79,200
77,82,28,14,441,1176,76,200
78,3,23,11,405,1135,81,200
79,70,25,17,801,1440,81,200
80,61,45,35,415,943,78,200
81,100,19,12,899,1440,80,200
82,60,17,16,128,776,81,200
83,1,91,20,338,982,81,200
84,60,23,29,164,706,79,200
85,64,84,20,590,960,75,200
86,100,9,16,902,1440,82,200
87,56,23,11,862,1440,81,200
88,60,74,24,615,1227,76,200
89,27,18,25,538,1046,82,200
90,26,94,20,175,897,78,200
91,71,15,22,910,1440,82,200
92,62,50,16,545,1113,78,200
93,34,31,15,542,1234,83,200
94,83,30,14,779,1440,79,200
95,21,80,23,980,1440,79,200
96,74,77,14,74,1056,78,200
97,38,40,10,356,899,80,200
98,73,92,32,146,645,74,200
99,17,81,19,800,1440,79,200
100,100,38,29,637,1221,83,200
