CUSTNO,XCOORD,YCOORD,DEMAND,READYTIME,DUETIME,SERVICETIME,CAPACITY
1,212,254,30,665,1431,80,200
2,338,466,24,314,1130,83,200
3,286,453,21,706,1302,76,200
4,350,136,15,924,1440,81,200
5,165,22,18,192,988,83,200
6,51,320,24,301,1019,83,200
7,310,335,29,373,1342,79,200
8,389,486,25,417,1162,78,200
9,285,291,28,102,725,75,200
10,177,358,16,343,965,74,200
11,460,104,13,63,728,78,200
12,417,201,9,115,630,82,200
13,361,279,17,83,861,80,200
14,214,361,23,920,1440,77,200
15,74,8,12,411,1066,80,200
16,289,195,29,857,1440,81,200
17,462,413,34,170,601,81,200
18,452,87,22,74,637,79,200
19,75,41,26,148,769,75,200
20,16,216,27,153,926,78,200
21,31,423,23,997,1440,88,200
22,213,285,25,367,771,83,200
23,234,347,17,571,1280,76,200
24,50,257,12,529,1127,79,200
25,197,350,23,831,1213,74,200
26,204,111,31,268,1034,78,200
27,230,94,17,123,615,76,200
28,394,54,18,29,391,87,200
29,305,470,24,800,1440,80,200
30,133,452,10,649,1430,78,200
31,89,308,30,779,1440,78,200
32,27,292,14,95,625,81,200
33,46,407,24,452,1144,82,200
34,311,9,29,160,857,84,200
35,330,410,19,948,1440,73,200
36,456,95,22,2,637,79,200
37,342,234,18,869,1297,81,200
38,409,81,27,415,1117,76,200
39,223,169,21,49,589,79,200
40,290,303,19,379,1153,78,200
41,207,371,22,860,1274,77,200
42,386,71,13,347,569,74,200
43,298,202,14,652,1392,86,200
44,407,251,17,696,1430,78,200
45,169,474,17,730,1016,79,200
46,295,437,22,940,1243,77,200
47,194,159,16,740,1212,78,200
48,291,73,25,498,1236,82,200
49,283,472,16,639,976,77,200
50,419,435,31,758,1440,79,200
51,397,355,29,975,1440,79,200
52,281,24,19,1016,1440,74,200
53,481,21,13,464,1126,83,200
54,416,389,9,216,761,82,200
55,264,496,12,355,1040,78,200
56,107,494,16,423,1092,78,200
57,340,387,25,605,1440,87,200
58,214,379,28,88,834,80,200
59,69,296,17,1012,1440,80,200
60,293,56,34,1000,1440,82,200
61,472,214,21,970,1440,78,200
62,82,330,9,781,1324,79,200
63,283,227,25,1,611,76,200
64,289,396,15,430,750,72,200
65,459,461,17,273,848,77,200
66,116,306,26,860,1239,85,200
67,354,322,32,328,904,75,200
68,444,379,29,810,1370,81,200
69,210,349,29,717,1076,76,200
70,190,115,23,500,1287,79,200
71,72,271,22,618,1079,77,200
72,175,380,18,787,1440,83,200
73,376,5,11,621,1352,84,200
74,45,341,30,364,1194,84,200
75,30,256,30,463,1279,80,200
76,225,159,15,149,468,79,200
77,157,45,22,197,878,82,200
78,19,103,39,544,1440,84,200
79,114,140,22,333,1258,77,200
80,310,47,33,37,784,74,200
81,230,57,22,741,1440,78,200
82,93,333,24,703,1440,78,200
83,413,280,10,549,1068,79,200
84,185,99,32,856,1440,82,200
85,217,237,10,856,1440,79,200
86,448,228,20,723,1440,80,200
87,72,466,22,391,1140,77,200
88,44,129,24,717,1384,77,200
89,454,403,21,943,1288,84,200
90,389,479,14,349,768,82,200
91,28,492,25,916,1440,77,200
92,92,286,39,605,1410,81,200
93,152,251,26,5,548,79,200
94,369,494,23,386,871,77,200
95,446,143,11,507,1292,76,200
96,136,306,22,320,912,84,200
97,246,67,32,574,1113,78,200
98,483,403,18,3,467,77,200
99,137,343,22,117,726,77,200
100,82,113,20,707,1440,80,200
101,470,457,26,783,1371,81,200
102,12,71,23,725,1440,80,200
103,223,447,9,499,1143,84,200
104,440,309,25,796,1440,80,200
105,137,142,25,283,651,82,200
106,381,106,21,530,1381,79,200
107,500,276,26,728,1440,81,200
108,410,156,16,674,1318,80,200
109,171,252,14,743,1179,82,200
110,8,299,19,643,1327,79,200
111,21,126,20,116,986,82,200
112,299,227,16,949,1440,78,200
113,81,67,27,382,1078,78,200
114,490,380,21,421,881,79,200
115,463,157,18,1,755,84,200
116,297,406,19,964,1440,81,200
117,437,465,24,84,953,80,200
118,130,366,30,475,957,78,200
119,118,382,38,348,876,82,200
120,84,448,25,389,1245,83,200
121,361,117,29,128,824,82,200
122,14,417,25,1003,1440,80,200
123,91,381,12,563,1102,82,200
124,93,162,13,552,1242,82,200
125,47,343,16,749,1134,81,200
126,440,19,16,1027,1440,80,200
127,425,61,15,414,1043,84,200
128,89,275,23,1000,1440,77,200
129,448,231,32,410,858,75,200
130,21,410,30,677,1440,81,200
131,454,19,11,634,1037,79,200
132,202,302,32,901,1440,85,200
133,85,468,13,469,1243,79,200
134,37,177,12,376,805,81,200
135,143,57,18,550,1437,79,200
136,64,376,11,42,753,84,200
137,453,52,16,965,1440,71,200
138,185,225,13,588,1229,79,200
139,320,83,39,977,1440,79,200
140,61,14,8,943,1440,86,200
141,202,290,41,706,1440,81,200
142,406,352,14,496,1274,81,200
143,311,487,10,482,1136,79,200
144,493,250,12,121,636,80,200
145,53,138,11,621,1177,80,200
146,495,207,19,139,446,81,200
147,12,67,22,225,1080,82,200
148,370,377,30,939,1440,79,200
149,488,478,12,64,425,83,200
150,21,198,28,168,932,79,200
151,7,394,28,1005,1440,85,200
152,145,248,29,900,1440,76,200
153,326,195,15,726,1215,79,200
154,5,335,16,1042,1440,76,200
155,315,333,21,387,1104,82,200
156,97,318,19,369,1114,77,200
157,355,250,28,494,739,76,200
158,88,155,23,1005,1440,78,200
159,171,280,16,165,910,81,200
160,478,94,13,748,1238,82,200
161,220,227,11,828,1105,84,200
162,59,71,16,25,745,80,200
163,85,109,12,742,1440,84,200
164,437,322,33,881,1440,80,200
165,316,310,15,780,1381,80,200
166,264,289,15,377,819,79,200
167,472,433,9,1017,1440,81,200
168,94,14,9,397,1168,78,200
169,280,423,17,309,757,81,200
170,444,47,23,146,889,73,200
171,325,411,10,744,1440,81,200
172,15,208,19,360,780,78,200
173,301,395,21,666,1363,82,200
174,141,366,33,753,1242,78,200
175,316,25,10,1023,1440,78,200
176,231,53,11,210,1023,78,200
177,206,449,36,1006,1239,77,200
178,239,281,13,444,1032,79,200
179,138,496,22,42,769,75,200
180,23,362,8,775,1217,79,200
181,464,169,19,351,1211,80,200
182,7,96,15,579,940,78,200
183,185,12,31,723,1440,78,200
184,456,442,26,445,974,83,200
185,112,26,30,516,1176,79,200
186,153,279,8,63,502,85,200
187,100,386,19,154,776,81,200
188,460,413,10,735,1426,83,200
189,160,230,21,931,1440,81,200
190,170,282,26,487,980,80,200
191,167,495,13,270,861,80,200
192,40,471,14,99,869,76,200
193,17,204,9,239,899,82,200
194,283,13,31,140,553,80,200
195,41,442,16,1036,1440,82,200
196,233,170,15,304,991,78,200
197,156,212,29,971,1440,79,200
198,441,315,35,699,1279,78,200
199,460,153,19,870,1308,75,200
200,425,125,18,423,1161,76,200
